id,SSU_49870,SSU_49871,SSU_49872,SSU_65981,SSU_65982,SSU_65983,SSU_65984,SSU_65985,SSU_65986
HCG4,0,0,14,0,0,0,0,0,0
HCG4B,2,2,23,17,17,9,10,20,13
HCG8,0,1,24,0,0,0,0,0,0
HCG9,1,1,22,0,0,0,0,0,0
HCK,158,2,63,25,12,11,200,288,4
HCLS1,1580,927,328,273,264,180,314,309,190
HCN1,9,3,113,0,0,0,0,1,0
HCN2,8,1,59,0,1,0,0,0,0
HCN3,2,4,129,0,1,14,2,2,14
HCN4,15,1,96,1,0,0,0,0,1
HCP5,2,1,31,0,0,0,0,0,0
HCRT,1,0,12,0,0,0,0,0,0
HCRTR1,1,0,31,0,0,0,0,0,0
HCRTR2,2,1,38,0,0,0,0,0,0
HCST,0,0,20,0,1,0,1,2,0
